CCTV-1高清-直播,rtp://239.45.3.145:5140
CCTV-2-直播,rtp://239.45.3.189:5140
CCTV-3高清-直播,rtp://239.45.1.68:5140
CCTV-4-直播,rtp://239.45.3.190:5140
CCTV-5高清-直播,rtp://239.45.1.69:5140
CCTV-6高清-直播,rtp://239.45.1.70:5140
CCTV-7-直播,rtp://239.45.1.193:5140
CCTV-8高清-直播,rtp://239.45.1.71:5140
CCTV-10-直播,rtp://239.45.1.195:5140
CCTV-11-直播,rtp://239.45.1.196:5140
CCTV-12-直播,rtp://239.45.1.197:5140
CCTV-新闻-直播,rtp://239.45.1.198:5140
CCTV-少儿-直播,rtp://239.45.1.199:5140
CCTV-音乐-直播,rtp://239.45.1.200:5140
东方卫视高清-直播,rtp://239.45.3.146:5140
新闻综合高清-直播,rtp://239.45.3.209:5140
娱乐频道高清-直播,rtp://239.45.3.236:5140
星尚高清-直播,rtp://239.45.1.126:5140
五星体育高清-直播,rtp://239.45.3.210:5140
电视剧频道高清-直播,rtp://239.45.3.237:5140
生活时尚高清-直播,rtp://239.45.3.132:5140
纪实频道高清-直播,rtp://239.45.3.212:5140
全纪实高清-直播,rtp://239.45.3.135:5140
第一财经高清-直播,rtp://239.45.3.211:5140
Knews24高清-直播,rtp://239.45.3.164:5140
游戏风云高清-直播,rtp://239.45.3.131:5140
炫动卡通-直播,rtp://239.45.3.187:5140
上海教育-直播,rtp://239.45.3.122:5140
东方电影-直播,rtp://239.45.3.251:5140
湖南卫视高清-直播,rtp://239.45.3.228:5140
江苏卫视高清-直播,rtp://239.45.3.177:5140
浙江卫视高清-直播,rtp://239.45.3.178:5140
安徽卫视高清-直播,rtp://239.45.1.120:5140
北京卫视高清-直播,rtp://239.45.3.229:5140
东南卫视高清-直播,rtp://239.45.1.121:5140
广东卫视高清-直播,rtp://239.45.3.230:5140
重庆卫视高清-直播,rtp://239.45.1.84:5140
江西卫视高清-直播,rtp://239.45.1.122:5140
天津卫视高清-直播,rtp://239.45.1.124:5140
四川卫视高清-直播,rtp://239.45.1.83:5140
BESTV-4k-直播,rtp://239.45.3.107:5140
超级体育01 HD,rtsp://124.75.34.37/PLTV/88888888/224/0/3221225669/0000000022ij.smil
超级体育02 HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226193/00000100000000060000000000201563_0.smil
超级体育04 HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226208/00000100000000060000000000201575_0.smil
超级体育05 HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226225/10000100000000060000000000686926_0.smil
超级体育06 HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226232/10000100000000060000000000686925_0.smil
超级体育07 HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226289/10000100000000060000000001678455_0.smil
超级体育08 HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226294/10000100000000060000000001678744_0.smil
东方购物-1HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226275/10000100000000060000000001534016_0.smil
东方购物-2HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226264/10000100000000060000000001534015_0.smil
东方购物-5HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226315/10000100000000060000000001865658_0.smil
都市频道HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226219/10000100000000060000000000522063_0.smil
黑龙江卫视HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226085/00000100000000060000000000005880_0.smil
深圳卫视HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226084/00000100000000060000000000005879_0.smil
陶瓷HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226321/10000100000000060000000002340601_0.smil
直播室2 HD,rtsp://124.75.34.37/PLTV/88888888/224/3221226206/00000100000000060000000000201569_0.smil
